county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,lat,lng
alameda,2020-03,151.0,274.0,0.0,0.0,74.0,51.0,342.0,37.7668,-122.267
alameda,2020-04,2365.0,2212.0,1398.0,14472.0,1134.0,444.0,3130.0,37.7668,-122.267
alameda,2020-05,2568.0,2113.0,4681.0,80318.0,1159.0,414.0,3969.0,37.7668,-122.267
alameda,2020-06,2693.0,1481.0,4174.0,89040.0,1012.0,292.0,4567.0,37.7668,-122.267
alameda,2020-07,5101.0,1641.0,6742.0,84000.0,1631.0,268.0,3701.0,37.7668,-122.267
alameda,2020-08,5752.0,1482.0,7234.0,74264.0,1874.0,223.0,2764.0,37.7668,-122.267
alameda,2020-09,3415.0,1252.0,4667.0,71856.0,1046.0,174.0,3348.0,37.7668,-122.267
alameda,2020-10,1937.0,1213.0,3150.0,74370.0,599.0,147.0,3701.0,37.7668,-122.267
alameda,2020-11,2984.0,1153.0,4137.0,74421.0,769.0,154.0,3139.0,37.7668,-122.267
alameda,2020-12,10130.0,1251.0,11381.0,78682.0,2806.0,156.0,2398.0,37.7668,-122.267
alameda,2021-01,12778.0,1371.0,14149.0,77806.0,3505.0,173.0,2058.0,37.7668,-122.267
alameda,2021-02,6217.0,916.0,7133.0,69586.0,1909.0,95.0,2183.0,37.7668,-122.267
alameda,2021-03,3231.0,860.0,4091.0,76807.0,890.0,99.0,3062.0,37.7668,-122.267
alameda,2021-04,2282.0,967.0,3249.0,74406.0,649.0,126.0,3062.0,37.7668,-122.267
alameda,2021-05,1910.0,922.0,2832.0,77551.0,524.0,126.0,3459.0,37.7668,-122.267
alameda,2021-06,1115.0,811.0,1926.0,74366.0,288.0,129.0,3263.0,37.7668,-122.267
alameda,2021-07,2990.0,819.0,3809.0,76733.0,864.0,101.0,3287.0,37.7668,-122.267
alameda,2021-08,6706.0,847.0,7553.0,77236.0,1950.0,66.0,2899.0,37.7668,-122.267
alameda,2021-09,5018.0,1025.0,6043.0,74993.0,1731.0,130.0,2956.0,37.7668,-122.267
alameda,2021-10,2819.0,1082.0,3901.0,76846.0,1051.0,169.0,3222.0,37.7668,-122.267
alameda,2021-11,1547.0,801.0,2348.0,73231.0,464.0,62.0,3243.0,37.7668,-122.267
alameda,2021-12,2232.0,852.0,3084.0,77510.0,509.0,61.0,2861.0,37.7668,-122.267
alameda,2022-01,11291.0,1218.0,12509.0,78267.0,1744.0,146.0,2390.0,37.7668,-122.267
alameda,2022-02,6808.0,869.0,7677.0,70581.0,1331.0,162.0,2219.0,37.7668,-122.267
alameda,2022-03,2377.0,566.0,2943.0,77870.0,298.0,61.0,3032.0,37.7668,-122.267
alameda,2022-04,1409.0,1010.0,2419.0,75766.0,111.0,127.0,3097.0,37.7668,-122.267
alameda,2022-05,2321.0,1157.0,3478.0,77786.0,178.0,167.0,3351.0,37.7668,-122.267
alameda,2022-06,3681.0,1235.0,4916.0,74958.0,418.0,158.0,2875.0,37.7668,-122.267
alameda,2022-07,4751.0,1264.0,6015.0,78120.0,612.0,176.0,3025.0,37.7668,-122.267
alameda,2022-08,4317.0,1118.0,5435.0,76683.0,667.0,235.0,3118.0,37.7668,-122.267
alameda,2022-09,2870.0,1050.0,3920.0,73703.0,404.0,94.0,2839.0,37.7668,-122.267
